News_Headline,Link_Of_News,Source,Stated_On,Date,Label
"Says Tom Cotton ""voted against preparing America for pandemics like Ebola.""",https://www.politifact.com/factchecks/2014/aug/28/mark-pryor/pryor-says-cotton-voted-no-pandemic-prevention-bil/,Mark Pryor," August 25, 20"," August 28, 2014",barely-true
"Wendy Davis is ""fighting to bring ... Bloomberg-style gun control to Texas.""",https://www.politifact.com/factchecks/2013/nov/08/greg-abbott/davis-not-pushing-gun-control-bloomberg-has-favore/,Greg Abbott," November 7, 2"," November 8, 2013",half-true
"Says officials in Washington, D.C., are “jamming all communications.”",https://www.politifact.com/factchecks/2020/jun/02/tweets/how-false-conspiracy-theory-about-washington-commu/,Tweets," June 1, 2020 "," June 2, 2020",FALSE
"""Boeing is building a brand new 747 Air Force One for future presidents, but costs are out of control, more than $4 billion. Cancel order!""",https://www.politifact.com/factchecks/2016/dec/06/donald-trump/fact-checking-donald-trumps-tweet-air-force-one-bo/,Donald Trump," December 6, 2"," December 6, 2016",half-true
"In nine Democratic debates, ""We've not had one question about a woman's right to make her own decisions about reproductive health care, not one question.""",https://www.politifact.com/factchecks/2016/apr/15/hillary-clinton/hillary-clinton-says-democratic-debate-moderators-/,Hillary Clinton," April 14, 201"," April 15, 2016",TRUE
"""The majority of people travelling to these destination resorts are not going for the primary purpose of gambling.""",https://www.politifact.com/factchecks/2013/nov/12/frank-fahrenkopf/gaming-advocate-says-most-people-go-high-end-casin/,Frank Fahrenkopf," October 19, 2"," November 12, 2013",barely-true
"""Snapchat CEO Evan Spiegel has said the app is for rich people, don't want to expand in poor countries like India and Spain.""",https://www.politifact.com/factchecks/2017/apr/17/viral-image/did-snapchats-ceo-say-india-was-too-poor-his-app/,Viral image," April 15, 201"," April 17, 2017",barely-true
"Says Hillary Clinton’s ""State Department blocked investigation into Orlando killer’s mosque.""",https://www.politifact.com/factchecks/2016/jun/23/blog-posting/websites-say-hillary-clintons-state-department-blo/,Bloggers," June 13, 2016"," June 23, 2016",FALSE
Georgia has recovered more than $60 million that was lost to Medicaid fraud,https://www.politifact.com/factchecks/2014/mar/28/ed-lindsey/state-lawmakers-claim-medicaid-fraud-recovery-corr/,Edward Lindsey," March 20, 201"," March 28, 2014",TRUE
"""Human meat found in McDonald’s meat factory""",https://www.politifact.com/factchecks/2017/sep/28/blog-posting/fake-news-human-remains-were-not-found-mcdonalds-h/,Bloggers," August 3, 201"," September 28, 2017",pants-fire
"""If you are in Las Vegas and you get a knock on your door from NV Power, 2020 Census or CVD-19 testers, do not open your door. They are robbing people at gunpoint.""",https://www.politifact.com/factchecks/2020/mar/25/facebook-posts/beware-rumors-robbers-posing-covid-testers/,Facebook posts," March 21, 202"," March 25, 2020",FALSE
"Says professional football coach Rex Ryan ""won championships in New York. The AFC, I think, twice.""",https://www.politifact.com/factchecks/2016/apr/20/donald-trump/donald-trump-praises-rex-ryans-imaginary-afc-champ/,Donald Trump," April 18, 201"," April 20, 2016",FALSE
The governor’s budget proposal reduces the state austerity cut to education to under $500 million for 2016.,https://www.politifact.com/factchecks/2015/feb/06/alan-essig/essig-accurate-education-austerity-cuts-under-500-/,Alan Essig," January 22, 2"," February 6, 2015",TRUE
"""JUST IN: Actor ‘Vin Deisel’ dies after a Failed Attempt to Perfect a Stunt on set."" ?",https://www.politifact.com/factchecks/2018/aug/23/blog-posting/not-so-fast-vin-diesel-didnt-die-failed-stunt-atte/,Bloggers," August 22, 20"," August 23, 2018",pants-fire
"There were ""$2 billion in earmarks in fiscal year 2012.""",https://www.politifact.com/factchecks/2013/nov/15/karl-king/were-there-2-billion-earmarks-fiscal-year-2012-pol/,Karl King," October 15, 2"," November 15, 2013",FALSE
"Florida has ""the most errors and exonerations from death row.""",https://www.politifact.com/factchecks/2014/jun/02/aclu-florida/florida-aclu-says-state-has-most-errors-and-exoner/,American Civil Liberties Union of Florida," May 27, 2014 "," June 2, 2014",half-true
"“N95 masks block few, if any” COVID-19 particles due to their size.",https://www.politifact.com/factchecks/2020/jun/15/facebook-posts/claim-n95-masks-cant-stop-covid-19-particles-due-s/,Facebook posts," June 4, 2020 "," June 15, 2020",pants-fire
"Says ""I was part of the second class to integrate Berkeley, California, public schools.""",https://www.politifact.com/factchecks/2019/jul/02/kamala-harris/was-kamala-harris-part-second-class-integrate-her-/,Kamala Harris," June 27, 2019"," July 2, 2019",mostly-true
"The Texas Senate ""approved a bill to put a special label on the insurance cards of anyone who bought a plan through Obamacare"" that includes the letter ""S"" for subsidy.",https://www.politifact.com/factchecks/2015/jun/03/al-sharpton/sharpton-texas-lawmakers-want-insurance-cards-carr/,Al Sharpton," May 29, 2015 "," June 3, 2015",barely-true
"""US President D. Trump Approves Scholarship for 50,000 African Student to Study in USA 2018"" ?",https://www.politifact.com/factchecks/2018/aug/27/blog-posting/no-evidence-trump-approved-us-scholarships-thousan/,Bloggers," August 22, 20"," August 27, 2018",pants-fire
"Says that as a U.S. senator, Scott Brown ""delivered for Wall Street, saving big banks $19 billion in taxes.""",https://www.politifact.com/factchecks/2014/feb/11/senate-majority-pac/pro-democratic-pac-says-scott-brown-delivered-wall/,Senate Majority PAC," January 8, 20"," February 11, 2014",barely-true
"""States that have implemented waiting periods have seen significant decreases in suicides.""",https://www.politifact.com/factchecks/2018/mar/24/doug-jones/yes-waiting-periods-gun-purchases-have-been-linked/,Doug Jones," March 21, 201"," March 24, 2018",mostly-true
"""Tina (Smith) profited from the opioid crisis."" ?",https://www.politifact.com/factchecks/2018/oct/31/karin-housley/karin-housley-twists-tina-smiths-finances-allege-p/,Karin Housley," October 18, 2"," October 31, 2018",FALSE
"Says he didn't take ""corporate PAC money.""",https://www.politifact.com/factchecks/2018/mar/17/conor-lamb/conor-lambs-rejection-corporate-pac-money-needs-co/,Conor Lamb," March 13, 201"," March 17, 2018",mostly-true
"""West Virginia Department of Education reported over 10,000 children and youth have been identified as homeless for the 2018-2019 school year.""",https://www.politifact.com/factchecks/2019/oct/11/joe-manchin/how-many-west-virginia-students-are-homeless/,Joe Manchin," September 9, "," October 11, 2019",TRUE
"Says marijuana use among Colorado high school students ""has not increased since legalization.""",https://www.politifact.com/factchecks/2016/oct/06/campaign-regulate-marijuana-alcohol/has-colorado-teen-pot-use-not-increased-legalizati/,Campaign to Regulate Marijuana Like Alcohol," September 27,"," October 6, 2016",half-true
"Georgia has the 9th highest rate of adults, ages 18 to 64, without a high school diploma or GED.",https://www.politifact.com/factchecks/2015/sep/02/melissa-johnson/report-accurate-about-georgias-low-diploma-rate/,Melissa Johnson," August 6, 201"," September 2, 2015",TRUE
"""We cut business taxes so today 70 percent of our businesses don't pay a business tax.""",https://www.politifact.com/factchecks/2013/sep/06/rick-scott/rick-scott-says-majority-businesses-are-exempt-bus/,Rick Scott," August 30, 20"," September 6, 2013",mostly-true
"Says Hillary Clinton ""viciously"" attacked women abused by Bill Clinton.",https://www.politifact.com/factchecks/2016/oct/10/donald-trump/donald-trump-says-hillary-clinton-viciously-attack/,Donald Trump," October 9, 20"," October 10, 2016",barely-true
COVID-19 is “here to stay” and “we need to accept that and be prepared to deal with COVID long term.”,https://www.politifact.com/factchecks/2020/apr/29/facebook-posts/experts-say-covid-19-may-well-be-here-stay-even-af/,Facebook posts," April 26, 202"," April 29, 2020",mostly-true
Say Lance Armstrong is dead.,https://www.politifact.com/factchecks/2017/may/15/blog-posting/fake-news-bloggers-say-lance-armstrong-has-died/,Bloggers," May 13, 2017 "," May 15, 2017",pants-fire
"Says Andrew Gillum ""wants to increase Florida taxes by a billion dollars.""",https://www.politifact.com/factchecks/2018/sep/14/republican-governors-association/republican-ad-correct-andrew-gillum-wants-raise-fl/,Republican Governors Association," September 12,"," September 14, 2018",mostly-true
"Says Donald Trump supports ""an agenda out there"" to privatize the Veterans Affairs health care system.",https://www.politifact.com/factchecks/2016/sep/08/hillary-clinton/hillary-clinton-says-donald-trump-supports-privati/,Hillary Clinton," September 7, "," September 7, 2016",barely-true
"""Road congestion costs rush hour drivers in Austin and Dallas more than $1,000 a year. And in Houston, it’s even more -- almost $1,500 a year.""",https://www.politifact.com/factchecks/2015/nov/24/greg-abbott/gov-greg-abbott-says-traffic-congestion-costs-texa/,Greg Abbott," October 19, 2"," November 24, 2015",mostly-true
"""Attention hunters: Voting in North Dakota could cost you your out-of-state hunting licenses.""",https://www.politifact.com/factchecks/2018/nov/02/north-dakota-NPL/voting-will-not-cost-hunting-license-north-dakota/,North Dakota Democratic–Nonpartisan League Party," November 1, 2"," November 2, 2018",pants-fire
"""Docs: Wisconsin Governor Scott Walker took $1 million from a pro-Putin Ukrainian businessman—last election cycle.""",https://www.politifact.com/factchecks/2017/jun/21/tweets/pro-putin-ukrainian-gave-scott-walker-1-million/,Tweets," May 23, 2017 "," June 21, 2017",barely-true
"Says Senate Republicans are ""following a longstanding tradition of not filling vacancies on the Supreme Court in the middle of a presidential election year.""",https://www.politifact.com/factchecks/2016/mar/22/mitch-mcconnell/mitch-mcconnell-exaggerates-tradition-not-confirmi/,Mitch McConnell," March 20, 201"," March 22, 2016",FALSE
"""NASCAR endorsed Trump""",https://www.politifact.com/factchecks/2016/mar/07/donald-trump/donald-trump-claimed-nascars-endorsement-and-hes-n/,Donald Trump," March 7, 2016"," March 7, 2016",half-true
"Says ""Muhammad owned many slaves"" while Robert E. Lee was ""against slavery.""",https://www.politifact.com/factchecks/2019/aug/27/facebook-posts/no-robert-e-lee-was-not-against-slavery-facebook-p/,Facebook posts," August 19, 20"," August 27, 2019",FALSE
"Says ""Florida is a model"" for successful pretrial release programs.",https://www.politifact.com/factchecks/2015/jun/12/john-oliver/john-oliver-hails-pretrial-services-florida-progre/,John Oliver," June 7, 2015 "," June 12, 2015",half-true
An old image shows a drug store with a marijuana leaf sign.,https://www.politifact.com/factchecks/2019/dec/18/viral-image/image-1800s-era-drug-store-marijuana-plant-sign-is/,Viral image," December 15, "," December 18, 2019",FALSE
"Says ""Claire McCaskill receives the second-most contributions from insurance companies in the entire Senate.""",https://www.politifact.com/factchecks/2018/sep/21/josh-hawley/fact-checking-josh-hawley-video-highlights-insurer/,Josh Hawley," September 19,"," September 21, 2018",mostly-true
The new Atlanta Braves stadium will require no tax increase for homeowners and provide $3 million annually for Cobb County schools.,https://www.politifact.com/factchecks/2013/dec/16/revitalize-cobb/pro-stadium-group-paints-incomplete-picture/,Revitalize Cobb," November 22, "," December 16, 2013",half-true
"""We have not spoken directly with the whistleblower.""",https://www.politifact.com/factchecks/2019/oct/04/adam-schiff/adam-schiffs-false-claim-we-have-not-spoken-direct/,Adam Schiff," September 17,"," October 4, 2019",FALSE
"""Trump: ‘I am sending troops to South Africa and they will not leave until the killing stop and the land issue resolved.’ """,https://www.politifact.com/factchecks/2018/aug/24/blog-posting/no-donald-trump-not-sending-troops-south-africa/,Bloggers," August 24, 20"," August 24, 2018",pants-fire
Says a photo shows Donald Trump kissing Ivanka Trump on the lips.,https://www.politifact.com/factchecks/2020/jan/15/viral-image/video-footage-shows-donald-trump-kissed-his-daught/,Viral image," November 25, "," January 15, 2020",FALSE
"""In order to pass the CRCT in Georgia, you simply have to get half of the answers correct.""",https://www.politifact.com/factchecks/2014/apr/08/alisha-thomas-morgan/lawmaker-seeks-passing-grade-crct-claim/,Alisha Thomas Morgan," March 20, 201"," April 8, 2014",mostly-true
"Property taxes have ""nothing to do with the state.""",https://www.politifact.com/factchecks/2019/aug/10/andrew-cuomo/cuomos-claim-property-taxes-omits-mandates/,Andrew Cuomo," July 19, 2019"," August 10, 2019",half-true
"Says ""wealthy people in Canada donate to hospitals"" to get better health care treatment.",https://www.politifact.com/factchecks/2019/aug/19/mark-cuban/do-wealthy-canadians-donate-hospitals-get-better-t/,Mark Cuban," August 15, 20"," August 19, 2019",barely-true
"""97 percent of the 100 poorest counties in America are in red states.""",https://www.politifact.com/factchecks/2014/jul/29/facebook-posts/are-97-nations-100-poorest-counties-red-states/,Facebook posts," July 27, 2014"," July 29, 2014",mostly-true
"""Currently, it takes up to 25 years to obtain U.S. citizenship legally"" but the Senate bill ""would allow immigrants who came to the United States illegally to obtain citizenship in just 13 years.""",https://www.politifact.com/factchecks/2013/jul/07/jim-sensenbrenner/rep-jim-sensenbrenner-says-it-takes-25-years-obtai/,Jim Sensenbrenner," July 1, 2013 "," July 7, 2013",half-true
"Says the KKK marched in Mebane, N.C., after Trump’s victory",https://www.politifact.com/factchecks/2016/nov/09/viral-image/viral-image-debunked-kkk-was-not-marching-north-ca/,Viral image," November 9, 2"," November 9, 2016",FALSE
"By voting for Obamacare, Sen. Kay Hagan ""voted to kill the equivalent of 2.5 million jobs.""",https://www.politifact.com/factchecks/2014/oct/08/thom-tillis/thom-tillis-says-kay-hagan-voted-kill-equivalent-2/,Thom Tillis," October 7, 20"," October 7, 2014",barely-true
"""Florida is investing record amounts of funding for HIV/AIDS prevention.""",https://www.politifact.com/factchecks/2016/mar/31/rick-scott/gov-rick-scott-makes-misleading-claim-about-record/,Rick Scott," March 26, 201"," March 31, 2016",barely-true
"""Breaking: 3 liberal celebrities arrested for conspiracy to assassinate President Trump.""",https://www.politifact.com/factchecks/2018/may/07/miami-post/no-celebrities-were-not-arrested-trying-assassinat/,The Miami Post," May 6, 2018 i"," May 7, 2018",pants-fire
"""As a legislator, (Marco Rubio) flipped on a key vote after making a quick $200,000 from selling the house to the mother of the bill's lobbyist.""",https://www.politifact.com/factchecks/2016/mar/11/donald-trump/trump-attack-inaccurately-implies-rubio-traded-aut/,Donald Trump," March 7, 2016"," March 10, 2016",barely-true
“Kobe Bryant Is Still Alive and Faked His Death LEAKED FOOTAGE”,https://www.politifact.com/factchecks/2020/feb/18/youtube-videos/youtube-video-caption-falsely-claims-kobe-bryant-s/,YouTube videos," January 26, 2"," February 18, 2020",pants-fire
"Says Whoopi Goldberg said the widow of a Navy SEAL was ""looking for attention.""",https://www.politifact.com/factchecks/2017/mar/07/undergroundnewsreportcom/whoopi-golberg-quote-about-navy-seal-widow-made/,UndergroundNewsReport.com," March 1, 2017"," March 7, 2017",pants-fire
"Treasury Department's inspector general found ""there's $4 billion a year in excess payments"" going to people that shouldn’t get them. ""These are mostly Mexicans.""",https://www.politifact.com/factchecks/2017/apr/27/jeff-sessions/sessions-says-4-billion-tax-credits-go-mostly-mexi/,Jeff Sessions," April 23, 201"," April 27, 2017",half-true
"""There are 1,600 new coal-fired power plants being constructed as I speak around the world.""",https://www.politifact.com/factchecks/2019/sep/20/cecil-roberts/are-1600-new-coal-fired-power-plants-being-constru/,Cecil Roberts," September 4, "," September 20, 2019",barely-true
"Says Milwaukee County Sheriff David A. Clarke Jr. has said Black Lives Matter ""is a terrorist movement, a hate group and calls it, Black LIES Matter.""",https://www.politifact.com/factchecks/2017/apr/17/sheriff-david-clarke-us-senate/pro-sheriff-david-clarke-group-says-clarke-called-/,Sheriff David Clarke for U.S. Senate," April 5, 2017"," April 17, 2017",TRUE
"""Since 2004, more than 2,000 suspected terrorists have legally purchased weapons in the United States.""",https://www.politifact.com/factchecks/2015/dec/17/mike-thompson/data-backs-claim-watch-list-questions-linger/,Mike Thompson," December 7, 2"," December 17, 2015",mostly-true
"Says a bill co-sponsored by Sen. Claire McCaskill ""would give a free pass to any illegal immigrant who brings a child to the border.""",https://www.politifact.com/factchecks/2018/oct/06/josh-hawley/hawley-misconstrues-mccaskills-support-keep-famili/,Josh Hawley," September 13,"," October 6, 2018",FALSE
A photograph shows Barack Obama bowing to Ayatollah Khamenei.,https://www.politifact.com/factchecks/2019/may/23/viral-image/photo-barack-obama-bowing-ayatollah-khamenei-fake/,Viral image," May 21, 2019 "," May 23, 2019",pants-fire
"Says Ted Cruz ""was just bribed by the Kochs to introduce a bill that would give them and their allies America’s national forests, parks, and other public lands and open them for mining, drilling, fracking and logging.""",https://www.politifact.com/factchecks/2014/aug/17/occupy-democrats/ted-cruz-bribed-kochs-strike-match/,Occupy Democrats," July 11, 2014"," August 17, 2014",pants-fire
"""More than three women per day lose their lives at the hands of their partners.""",https://www.politifact.com/factchecks/2014/sep/16/james-brown/cbs-sports-james-brown-more-3-women-day-are-killed/,James Brown," September 11,"," September 16, 2014",TRUE
"Statistics show ""you are about nine times more likely to be assaulted by a taxi driver"" in Austin than a driver for a ride-hailing service.",https://www.politifact.com/factchecks/2016/apr/15/ellen-troxclair/ellen-troxclair-lacks-facts-behind-claim-about-sex/,Ellen Troxclair," April 10, 201"," April 15, 2016",pants-fire
Says “black babies die at rates twice as high as white babies because of a lack of access to affordable health care.”,https://www.politifact.com/factchecks/2020/feb/20/michael-bloomberg/checking-bloomberg-houston-infant-mortality/,Michael Bloomberg," February 13, "," February 20, 2020",mostly-true
"In the primary election, a ""right-wing group spent more than $100,000,000 to support"" Supreme Court Justice Rebecca Bradley.",https://www.politifact.com/factchecks/2016/mar/21/joanne-kloppenburg/joanne-kloppenburg-wrongly-claims-outside-group-sp/,JoAnne Kloppenburg," March 15, 201"," March 21, 2016",FALSE
"""The homicide rate in Baltimore is significantly higher than El Salvador, Honduras, Guatemala. ...  I believe it’s higher than Afghanistan.""",https://www.politifact.com/factchecks/2019/aug/02/donald-trump/donald-trumps-flawed-comparison-homicide-rates-bal/,Donald Trump," August 1, 201"," August 2, 2019",half-true
"""Last year, there were nine unarmed black people killed (by law enforcement). Nineteen unarmed white people.”",https://www.politifact.com/factchecks/2020/jun/05/larry-elder/larry-elder-mislabels-statistics-fatal-shootings-p/,Larry Elder," June 2, 2020 "," June 5, 2020",barely-true
On whether the Iraq War was a mistake.,https://www.politifact.com/factchecks/2015/may/18/marco-rubio/rubios-statements-iraq-have-shifted-not-flipped/,Marco Rubio," May 17, 2015 "," May 18, 2015",half-flip
"Says Mark Pryor ""votes with Obama 93 percent of the time.""",https://www.politifact.com/factchecks/2014/oct/22/tom-cotton/cotton-pryor-votes-obama-93-percent-time/,Tom Cotton," October 13, 2"," October 22, 2014",mostly-true
"""The forest fires were so grotesque last year that we had the worst air in the world in Washington.""",https://www.politifact.com/factchecks/2019/mar/08/jay-inslee/fact-checking-presidential-candidate-jay-inslee-cl/,Jay Inslee," February 20, "," March 8, 2019",mostly-true
"Says Donald Trump was ""caught investing in (the) Dakota Pipeline before signing it.""",https://www.politifact.com/factchecks/2017/feb/16/learnprogressorg/trump-caught-investing-dakota-access-pipeline-appr/,LearnProgress.org," February 8, 2"," February 16, 2017",FALSE
"""We have record bankruptcies in farming country.""",https://www.politifact.com/factchecks/2019/feb/26/heidi-heitkamp/does-us-have-record-bankruptcies-farm-country/,Heidi Heitkamp," February 24, "," February 26, 2019",barely-true
"Under economic sanctions, ""now Iran is suffering 30 percent inflation, 20 percent unemployment.""",https://www.politifact.com/factchecks/2013/sep/27/robert-reich/robert-reich-says-under-sanctions-iran-suffering-3/,Robert Reich," September 22,"," September 27, 2013",mostly-true
"Says George Soros said, “I’m going to bring down the United States by funding Black Hate groups. We’ll put them into a mental trap and make them blame white people. The Black community is the easiest to manipulate.”",https://www.politifact.com/factchecks/2020/jun/03/viral-image/george-soros-didnt-say-he-would-bring-down-united-/,Viral image," May 30, 2020 "," June 3, 2020",FALSE
"""70% of the pollution of the carbon that we're throwing into the air comes from three industries.""",https://www.politifact.com/factchecks/2019/sep/06/elizabeth-warren/elizabeth-warren-blamed-3-industries-70-greenhouse/,Elizabeth Warren," September 4, "," September 6, 2019",half-true
"""It is estimated that more than 20 veterans die by suicide every day.""",https://www.politifact.com/factchecks/2019/apr/24/joe-manchin/do-more-20-veterans-die-suicide-every-day/,Joe Manchin," March 18, 201"," April 24, 2019",mostly-true
"Says Rick Scott ""raised property taxes.""",https://www.politifact.com/factchecks/2014/aug/01/charlie-crist/rick-scott-raised-property-taxes-charlie-crist-say/,Charlie Crist," July 31, 2014"," August 1, 2014",barely-true
"""My position hasn’t changed"" on using executive authority to address immigration issues.",https://www.politifact.com/factchecks/2014/nov/20/barack-obama/barack-obama-position-immigration-action-through-e/,Barack Obama," November 16, "," November 20, 2014",FALSE
"""Jim Renacci has been a lobbyist even while in Congress"" and ""voted to make it easier for lobbyists to hold key government positions and harder to investigate conflicts of interest.""",https://www.politifact.com/factchecks/2018/may/31/sherrod-brown/sherrod-brown-misleads-lobbyist-attack-jim-renacci/,Sherrod Brown," May 18, 2018 "," May 31, 2018",barely-true
"""When the law stopped Tony Evers from revoking a teacher's license for viewing pornography, Tony worked with lawmakers from both parties to change the law so offenders could be kicked out of the classroom.""",https://www.politifact.com/factchecks/2018/aug/29/greater-wisconsin-political-fund/hitting-back-group-defends-dem-governor-candidate-/,Greater Wisconsin Committee," August 20, 20"," August 29, 2018",half-true
“My mask will keep someone else safe and their mask will keep me safe.”,https://www.politifact.com/factchecks/2020/apr/01/pat-toomey/will-homemade-masks-stop-coronavirus-spreading-fac/,Pat Toomey," March 28, 202"," April 1, 2020",TRUE
"""It has been the law since the beginning of the country that the children of American citizens born ... abroad are American citizens by birth.""",https://www.politifact.com/factchecks/2015/sep/04/ted-cruz/ted-cruz-says-its-always-been-law-babies-born-us-c/,Ted Cruz," August 21, 20"," September 4, 2015",mostly-true
"Says ""Brenda Snipes in Broward County is a Republican.""",https://www.politifact.com/factchecks/2018/nov/14/andrea-mitchell/broward-county-elections-supervisor-brenda-snipes-/,Andrea Mitchell," November 12, "," November 14, 2018",FALSE
"""Measles kills 11 people in 19 years (since 2000). MMR vaccine kills 445 infants in 1 year (since 2018).""",https://www.politifact.com/factchecks/2019/apr/15/viral-image/no-measles-vaccine-didnt-kill-hundreds-infants-las/,Viral image," April 4, 2019"," April 15, 2019",pants-fire
"""Donald Trump says he'd deport 16 million people.""",https://www.politifact.com/factchecks/2016/oct/25/hillary-clinton/hillary-clinton-exaggerates-saying-donald-trump-pl/,Hillary Clinton," October 23, 2"," October 25, 2016",half-true
"Says that at Beto O’Rourke’s rally in El Paso, there were ""200 people, 300 people.""",https://www.politifact.com/factchecks/2019/feb/12/donald-trump/did-beto-orourke-attract-only-200-or-300-people-hi/,Donald Trump," February 11, "," February 12, 2019",FALSE
"""Over the last 40 years, this country’s prison population has grown by 500 percent.""",https://www.politifact.com/factchecks/2016/sep/16/kamala-harris/mostly-true-americas-prison-population-has-skyrock/,Kamala Harris," August 22, 20"," September 16, 2016",mostly-true
The Cathedral of Christ the King is one of the Archdiocese of Atlanta’s largest and fastest-growing parishes.,https://www.politifact.com/factchecks/2014/may/02/wilton-gregory/mansion-moved-sparked-church-growth/,Wilton Gregory," March 31, 201"," May 2, 2014",mostly-true
"""Every single (health care) plan that this White House has ever put forward since Donald Trump was elected covered pre-existing conditions.""",https://www.politifact.com/factchecks/2019/apr/01/mick-mulvaney/republican-pre-existing-protections-leave-some-vul/,Mick Mulvaney," March 31, 201"," April 1, 2019",barely-true
"That Kurt Russell said President Donald Trump is ""relentless,"" ""dedicated,"" ""determined"" and ""courageous"" and ""stands there in the face of pure evil, rock solid & ready to fight for us. God bless this brave man.""",https://www.politifact.com/factchecks/2018/nov/06/blog-posting/no-kurt-russell-did-not-tweet-trump-relentless-ded/,Bloggers," November 3, 2"," November 6, 2018",pants-fire
"Says the California flag was supposed to be a pear, not a bear.",https://www.politifact.com/factchecks/2015/jun/18/breitbart/no-pear-was-not-original-symbol-california/,Breitbart," June 14, 2015"," June 18, 2015",pants-fire
"Says Adam Schiff’s family Christmas card has a photo of the whistleblower, who is dating Schiff’s daughter.",https://www.politifact.com/factchecks/2019/dec/12/viral-image/no-isnt-whistleblower-posing-adam-schiffs-family/,Viral image," December 11, "," December 12, 2019",pants-fire
"""We have a goal of 10 percent of [City of Providence] contracts going to women and minority businesses. In reality, less than 1 percent of contracts go to women and minority businesses.""",https://www.politifact.com/factchecks/2014/oct/01/jorge-elorza/elorza-says-less-1-providence-contracts-go-women-m/,Jorge Elorza," August 28, 20"," October 1, 2014",barely-true
"""Paul Ryan has blocked all action to strengthen our gun laws.""",https://www.politifact.com/factchecks/2018/apr/06/giffords/gabrielle-giffords-group-claims-gun-rights-backer-/,Giffords," March 13, 201"," April 6, 2018",barely-true
"""Bob Corker gave us the Iran Deal.""",https://www.politifact.com/factchecks/2017/oct/12/donald-trump/sen-bob-corker-responsible-iran-deal-donald-trump-/,Donald Trump," October 8, 20"," October 12, 2017",FALSE
"Says Hillary Clinton took ""money from kings of Saudi Arabia and Morocco and Oman and Yemen.""",https://www.politifact.com/factchecks/2015/apr/20/reince-priebus/hillary-clinton-took-money-kings-four-countries-go/,Reince Priebus," April 12, 201"," April 20, 2015",half-true
"Says Republican Gov. Phil Scott ""just voted to impeach President Trump.""",https://www.politifact.com/factchecks/2019/sep/30/facebook-posts/no-vermonts-governor-did-not-vote-impeach-donald-t/,Facebook posts," September 27,"," September 30, 2019",FALSE
"I ""helped pass what, if enacted, would be the largest tax cut in Texas history through the State Senate.""",https://www.politifact.com/factchecks/2015/may/05/van-taylor/van-taylor-says-texas-senate-sent-largest-tax-cut-/,Van Taylor," March 25, 201"," May 5, 2015",barely-true
"""Actress Emma Stone: ‘For the first time in history we have a president that…""",https://www.politifact.com/factchecks/2018/apr/09/politics-elite-trump/fake-news-claims-emma-stone-converted-trump-suppor/,Politics Elite Trump," April 1, 2018"," April 9, 2018",pants-fire
"""So the number on DACA is 800,000, but every one person can bring in their entire extended family once they reach a certain status. So it's 3 or 4 million, right?""",https://www.politifact.com/factchecks/2017/sep/15/dave-brat/rep-dave-brats-false-claim-about-daca-chain-migrat/,Dave Brat," September 7, "," September 15, 2017",FALSE
"Photos from Sept. 11, 2001, show that ""Donald Trump joined America’s heroes and carried victims over his shoulders down the steps of the burning World Trade Center. Obama spent the whole day sitting in the Oval Office with his feet on the desk watching basketball.""",https://www.politifact.com/factchecks/2019/nov/08/viral-image/no-these-photos-dont-show-donald-trump-and-barack-/,Viral image," November 4, 2"," November 8, 2019",pants-fire
"Says Donald Trump ""hasn’t broken his promise"" to release his tax returns.",https://www.politifact.com/factchecks/2016/oct/05/mike-pence/pences-false-claim-trump-hasnt-broken-tax-return-p/,Mike Pence," October 4, 20"," October 5, 2016",FALSE
"""One third of all federal prisoners today are illegal immigrants.""",https://www.politifact.com/factchecks/2016/aug/25/lamar-smith/mostly-false-lamar-smith-claim-one-third-federal-i/,Lamar Smith," July 19, 2016"," August 25, 2016",barely-true
"Says on contraception, his plan is ""cheaper and easier for you"" than Sen. Mark Udall’s",https://www.politifact.com/factchecks/2014/sep/08/cory-gardner/cory-gardner-says-his-plan-contraceptives-namely-p/,Cory Gardner," September 2, "," September 8, 2014",barely-true
"The Mitchell Park Domes ""lose about $1 million-plus every year"" and ""the number of people going to the Domes has been going down.""",https://www.politifact.com/factchecks/2016/mar/18/chris-abele/chris-abele-says-mitchell-park-domes-cost-taxpayer/,Chris Abele," March 3, 2016"," March 18, 2016",FALSE
"Government subsidies for renewable energies such as wind and solar are 100 times greater than those given to gas and coal, and 50 times greater than what the nuclear industry enjoys.",https://www.politifact.com/factchecks/2013/jul/31/tom-fanning/energy-subsidies-claim-needs-more-context/,Tom Fanning," June 17, 2013"," July 31, 2013",half-true
"Dozens of artists, including Justin Timberlake, Jay Z and Rihanna, are canceling Florida shows like Stevie Wonder in protest of  ""stand your ground.""",https://www.politifact.com/factchecks/2013/jul/23/instagram-posts/are-jay-z-justin-timberlake-and-rihanna-joining-st/,Instagram posts," July 21, 2013"," July 23, 2013",FALSE
"""Starbucks CEO: ‘If You Support Traditional Marriage We Don’t Want Your Business’""",https://www.politifact.com/factchecks/2018/jun/05/blog-posting/what-starbucks-howard-schultz-said-about-same-sex-/,Bloggers," February 23, "," June 5, 2018",FALSE
"Starbucks executive ""believes white men are the root of all evil.""",https://www.politifact.com/factchecks/2018/nov/08/blog-posting/no-starbucks-coo-never-said-men-are-root-all-evil/,Bloggers," February 17, "," November 8, 2018",pants-fire
